URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,Occasions,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews,Color
https://www.myntra.com/tops/herenow/herenow-black-ethnic-motifs-a-line-top/7102379/buy,7102379,HERE&NOW,Plus Size,tops,Women,herenow black ethnic motifs a line top,"Wedding, Cocktail Party, Prom, Red Carpet Event",629,1399.0,55% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,981,black
https://www.myntra.com/kurtas/jompers/jompers-men-purple-solid-straight-kurta/13212080/buy,13212080,Jompers,Indian Wear,kurtas,Men,jompers men purple solid straight kurta,"Wedding, Festive, Formal, Traditional",701,1799.0,61% OFF,"S, M, L, XL, XXL",4.4,27,purple
https://www.myntra.com/kurtas/indus-route-by-pantaloons/indus-route-by-pantaloons-men-lime-green-cotton-kurta/16032406/buy,16032406,indus route by Pantaloons,Indian Wear,kurtas,Men,indus route by pantaloons men lime green cotton kurta,"Festivals, Traditional events, Religious ceremonies, Weddings",584,899.0,35% OFF,"S, M, L, XL, XXL",4.5,27,green
https://www.myntra.com/tshirts/monte-carlo/monte-carlo-men-grey--black-printed-round-neck-t-shirt/11482880/buy,11482880,Monte Carlo,Indian Wear,tshirts,Men,monte carlo men grey  black printed round neck t shirt,"Casual outings, Weekend hangouts, Sports events, Music concerts.",792,990.0,20% OFF,"S, M, L, XL, XXL",4.1,27,black
https://www.myntra.com/dhotis/sethukrishna/sethukrishna-men-white-solid-readymade-dhoti/10465800/buy,10465800,Sethukrishna,Indian Wear,dhotis,Men,sethukrishna men white solid readymade dhoti,"Wedding, Religious Ceremony, Festive Occasion, Formal Event",749,999.0,25% OFF,Onesize,4.2,27,white
https://www.myntra.com/churidar/vastramay/vastramay-men-maroon-solid-slim-fit-churidar/12739154/buy,12739154,VASTRAMAY,Indian Wear,churidar,Men,vastramay men maroon solid slim fit churidar,"Wedding, Festive, Party, Formal Event",499,999.0,50% OFF,"S, M, L, XL, XXL, 3XL",4.0,27,maroon
https://www.myntra.com/kurtas/indus-route-by-pantaloons/indus-route-by-pantaloons-men-rust-red-solid-straight-kurta/11091934/buy,11091934,indus route by Pantaloons,Indian Wear,kurtas,Men,indus route by pantaloons men rust red solid straight kurta,"Wedding, Festive, Traditional, Cultural Event",549,999.0,45% OFF,"S, M, L, XL, XXL",4.0,27,red
https://www.myntra.com/nehru-jackets/melange-by-lifestyle/melange-by-lifestyle-men-orange-solid-pure-cotton-woven-nehru-jacket/15707026/buy,15707026,Melange by Lifestyle,Indian Wear,nehru-jackets,Men,melange by lifestyle men orange solid pure cotton woven nehru jacket,"Wedding, Festive, Formal Dinner, Cocktail Party",599,999.0,40% OFF,"S, M, L, XL, XXL",4.2,27,orange
https://www.myntra.com/sherwani/deyann/deyann-men-orange--cream-coloured-sherwani-with-dhoti-pants/10631190/buy,10631190,DEYANN,Indian Wear,sherwani,Men,deyann men orange  cream coloured sherwani with dhoti pants,"Wedding, Engagement, Festive Celebrations, Religious Ceremonies.",4995,9990.0,50% OFF,"S, M, L, XL, XXL, 3XL",3.6,27,orange
https://www.myntra.com/lounge-shorts/quarantine/quarantine-men-maroon-solid-lounge-shorts/13060258/buy,13060258,QUARANTINE,Inner Wear &  Sleep Wear,lounge-shorts,Men,quarantine men maroon solid lounge shorts,"Casual wear, lounging at home, sleeping, exercising.",476,899.0,47% OFF,"S, M, L, XL",4.6,27,maroon
https://www.myntra.com/lounge-shorts/quarantine/quarantine-men-mustard-yellow-solid-lounge-shorts/13060250/buy,13060250,QUARANTINE,Inner Wear &  Sleep Wear,lounge-shorts,Men,quarantine men mustard yellow solid lounge shorts,"Casual wear, lounging, stay-at-home, relaxation",476,899.0,47% OFF,"S, M, L, XL",4.3,27,yellow
https://www.myntra.com/lounge-tshirts/quarantine/quarantine-men-turquoise-blue-solid-round-neck-lounge-t-shirt/12998518/buy,12998518,QUARANTINE,Inner Wear &  Sleep Wear,lounge-tshirts,Men,quarantine men turquoise blue solid round neck lounge t shirt,"Casual outings, lounging at home, virtual hangouts, relaxing weekends.",422,899.0,53% OFF,"S, M, L, XL, XXL",3.9,27,turquoise
https://www.myntra.com/boxers/the-souled-store/the-souled-store-unisex-blue-tom-and-jerry-pattern-cotton-boxers/15246386/buy,15246386,The Souled Store,Inner Wear &  Sleep Wear,boxers,Men,the souled store unisex blue tom and jerry pattern cotton boxers,"Casual wear, loungewear, sleepwear, underwear",339,799.0,Rs. 460 OFF,"S, M, L, XL",4.4,27,blue
https://www.myntra.com/boxers/pluss/pluss-men-plus-size-grey--white-printed-pure-cotton-boxers-mbx208e/14134144/buy,14134144,plusS,Inner Wear &  Sleep Wear,boxers,Men,pluss men plus size grey  white printed pure cotton boxers mbx208e,"Casual, Everyday Wear, Lounging, Sleepwear",719,799.0,10% OFF,"XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL, 8XL",4.0,27,white
https://www.myntra.com/boxers/jack--jones/jack--jones-men-grey--yellow-printed-pure-cotton-boxers-16883698/16883698/buy,16883698,Jack & Jones,Inner Wear &  Sleep Wear,boxers,Men,jack  jones men grey  yellow printed pure cotton boxers 16883698,"Casual wear, lounging at home, sleeping, gym wear.",524,749.0,30% OFF,"S, M, L, XL, XXL",4.9,27,yellow
https://www.myntra.com/boxers/jack--jones/jack--jones-men-blue--yellow-lemon-printed-pure-cotton-boxers-16883694/16883694/buy,16883694,Jack & Jones,Inner Wear &  Sleep Wear,boxers,Men,jack  jones men blue  yellow lemon printed pure cotton boxers 16883694,"Casual, Beachwear, Loungewear, Sleepwear",524,749.0,30% OFF,"S, M, L, XL, XXL",4.9,27,blue
https://www.myntra.com/boxers/llak-jeans/llak-jeans-men-navy-blue--white-printed-pure-cotton-boxers-boxer-10-sp/12909680/buy,12909680,Llak Jeans,Inner Wear &  Sleep Wear,boxers,Men,llak jeans men navy blue  white printed pure cotton boxers boxer 10 sp,"Casual outings, Beach parties, Night outs, Summer picnics",284,749.0,62% OFF,"S, M, L, XL",3.9,27,navy
https://www.myntra.com/boxers/bene-kleed/bene-kleed-men-black--green-anti-bacterial-printed-boxers-bombs03sc05l34-4047/12077936/buy,12077936,Bene Kleed,Inner Wear &  Sleep Wear,boxers,Men,bene kleed men black  green anti bacterial printed boxers bombs03sc05l34 4047,"Casual, Everyday Wear, Lounging, Athletic",350,599.0,Rs. 249 OFF,"S, M, L, XL, XXL",4.3,27,black
https://www.myntra.com/boxers/park-avenue/park-avenue-men-grey--black-printed-pure-cotton-boxers-pzua00494-g5/12061142/buy,12061142,Park Avenue,Inner Wear &  Sleep Wear,boxers,Men,park avenue men grey  black printed pure cotton boxers pzua00494 g5,"Casual wear, lounging at home, sleeping, gym workout.",381,545.0,30% OFF,"M, L, XL",4.0,27,black
https://www.myntra.com/night-suits/bene-kleed/bene-kleed-men-green-printed-night-suit-set/13838030/buy,13838030,Bene Kleed,Inner Wear &  Sleep Wear,night-suits,Men,bene kleed men green printed night suit set,"Casual wear, Loungewear, Sleepwear, Nightwear",906,2999.0,Rs. 2093 OFF,"S, M, L, XL, XXL",4.2,27,green
https://www.myntra.com/lounge-pants/vimal-jonney/vimal-jonney-men-pack-of-2-lounge-pants-d10nd10a002/6550914/buy,6550914,VIMAL JONNEY,Inner Wear &  Sleep Wear,lounge-pants,Men,vimal jonney men pack of 2 lounge pants d10nd10a002,"Casual wear, Lounging at home, Sleeping, Relaxing",988,1798.0,45% OFF,"S, M, L, XL, XXL",4.3,27,unknown
https://www.myntra.com/boxers/the-bear-house/the-bear-house-men-pack-of-2-assorted-comfort-fit-knitted-boxers-tbh-misile-s/14174530/buy,14174530,THE BEAR HOUSE,Inner Wear &  Sleep Wear,boxers,Men,the bear house men pack of 2 assorted comfort fit knitted boxers tbh misile s,"Casual wear, loungewear, sleepwear, underwear.",762,1695.0,55% OFF,"S, M, L, XL",4.1,27,unknown
https://www.myntra.com/boxers/the-bear-house/the-bear-house-men-pack-of-2-woven-pure-cotton-boxers-tbh-pacha/12071140/buy,12071140,THE BEAR HOUSE,Inner Wear &  Sleep Wear,boxers,Men,the bear house men pack of 2 woven pure cotton boxers tbh pacha,"Casual wear, loungewear, sleepwear, underwear.",762,1695.0,55% OFF,"S, M, L, XL",4.3,27,unknown
https://www.myntra.com/boxers/the-bear-house/the-bear-house-men-pack-of-2-black--olive-green-woven-assorted-printed-boxers-tbh-chad/12231516/buy,12231516,THE BEAR HOUSE,Inner Wear &  Sleep Wear,boxers,Men,the bear house men pack of 2 black  olive green woven assorted printed boxers tbh chad,"Casual wear, Everyday wear, Lounge wear, Sleepwear",762,1695.0,55% OFF,"S, M, L, XL",4.0,27,black
https://www.myntra.com/boxers/crimsoune-club/crimsoune-club-men-pack-of-2-striped-pure-cotton-boxers/12412270/buy,12412270,Crimsoune Club,Inner Wear &  Sleep Wear,boxers,Men,crimsoune club men pack of 2 striped pure cotton boxers,"Casual outings, lounging at home, sleepwear, gym wear.",979,1399.0,30% OFF,"S, M, L, XL, XXL",4.4,27,unknown
https://www.myntra.com/boxers/mast--harbour/mast--harbour-men-pack-of-2-cotton-checked-boxers-mnh-box-pre-2pp-029/14269506/buy,14269506,Mast & Harbour,Inner Wear &  Sleep Wear,boxers,Men,mast  harbour men pack of 2 cotton checked boxers mnh box pre 2pp 029,"Casual, Everyday, Lounge, Sleepwear",454,1299.0,65% OFF,"S, M, L, XL",3.8,27,unknown
https://www.myntra.com/tshirts/pluss/pluss-men-navy-blue-printed-round-neck-pure-cotton-t-shirt/12944378/buy,12944378,plusS,Plus Size,tshirts,Men,pluss men navy blue printed round neck pure cotton t shirt,"Casual outings, Weekend hangouts, Beach parties, Music festivals.",690,1380.0,50% OFF,"XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL, 8XL",4.4,27,navy
https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-charcoal-grey-polo-collar-t-shirt/14545872/buy,14545872,Sztori,Plus Size,tshirts,Men,sztori men plus size charcoal grey polo collar t shirt,"Casual outings, Weekend hangouts, Sports events, BBQ parties.",679,1699.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.5,27,unknown
https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-olive-green-pure-cotton-printed-polo-collar-t-shirt/14545690/buy,14545690,Sztori,Plus Size,tshirts,Men,sztori men plus size olive green pure cotton printed polo collar t shirt,"Casual outings, Weekend hangouts, Summer parties, Beach vacations.",809,1799.0,55% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.3,27,olive
https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-olive-green-solid-pure-cotton-polo-collar-t-shirt/15258280/buy,15258280,Sztori,Plus Size,tshirts,Men,sztori men plus size olive green solid pure cotton polo collar t shirt,"Casual outings, Weekend hangouts, Outdoor activities, Summer parties",854,1899.0,55% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.4,27,olive
https://www.myntra.com/tshirts/pluss/pluss-men-plus-size-navy-blue-striped-polo-collar-t-shirt/13596904/buy,13596904,plusS,Plus Size,tshirts,Men,pluss men plus size navy blue striped polo collar t shirt,"Casual outings, Weekend hangouts, Sports events, Beach parties.",1200,2400.0,50% OFF,"XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL, 8XL",4.1,27,navy
https://www.myntra.com/sweatshirts/sztori/sztori-men-plus-size-maroon-solid-sweatshirt/14312358/buy,14312358,Sztori,Plus Size,sweatshirts,Men,sztori men plus size maroon solid sweatshirt,"Casual outings, Weekend hangouts, Sports events, Outdoor activities.",999,2499.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.6,27,maroon
https://www.myntra.com/sweatshirts/sztori/sztori-men-plus-size-olive-green-solid-sweatshirt/14312322/buy,14312322,Sztori,Plus Size,sweatshirts,Men,sztori men plus size olive green solid sweatshirt,"Casual outings, Weekend hangouts, Sports events, Outdoor activities.",999,2499.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.3,27,olive
https://www.myntra.com/sweatshirts/sztori/sztori-men-plus-size-navy-blue-solid-sweatshirt/14312348/buy,14312348,Sztori,Plus Size,sweatshirts,Men,sztori men plus size navy blue solid sweatshirt,"Casual outings, Weekend hangouts, Sports events, Outdoor activities.",999,2499.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.5,27,navy
https://www.myntra.com/kurta-sets/pluss/pluss-men-grey-solid-kurta-with-pyjamas/13546086/buy,13546086,plusS,Plus Size,kurta-sets,Men,pluss men grey solid kurta with pyjamas,"Wedding, Festival, Formal Event, Religious Ceremony",1250,2500.0,50% OFF,"XL, XXL, 3XL, 4XL, 5XL, 6XL, 7XL, 8XL",4.3,27,unknown
https://www.myntra.com/sweaters/sztori/sztori-men-plus-size-olive-green--white-striped-pullover/14320636/buy,14320636,Sztori,Plus Size,sweaters,Men,sztori men plus size olive green  white striped pullover,"Casual outings, Weekend hangouts, Outdoor activities, Beach parties.",1079,2699.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.6,27,olive
https://www.myntra.com/sweaters/sztori/sztori-men-plus-size-mustard-brown--yellow-jacquard-pattern-ombre-effect-pullover/14320610/buy,14320610,Sztori,Plus Size,sweaters,Men,sztori men plus size mustard brown  yellow jacquard pattern ombre effect pullover,"Casual, Weekend, Outdoor, Party",1239,3099.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.6,27,brown
https://www.myntra.com/sweaters/sztori/sztori-men-blue-plus-size-cable-knit-patterned-front-open-cardigan/14320646/buy,14320646,Sztori,Plus Size,sweaters,Men,sztori men blue plus size cable knit patterned front open cardigan,"Casual, Everyday Wear, Weekend Outing, Office Wear",1359,3399.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.5,27,blue
https://www.myntra.com/sweaters/sztori/sztori-men-plus-size-navy-blue-cable-knit-cardigan/14320642/buy,14320642,Sztori,Plus Size,sweaters,Men,sztori men plus size navy blue cable knit cardigan,"Casual outings, Family gatherings, Weekend brunches, Office parties",1359,3399.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.5,27,navy
https://www.myntra.com/jackets/sztori/sztori-men-plus-size-olive-green-solid-padded-jacket/14320470/buy,14320470,Sztori,Plus Size,jackets,Men,sztori men plus size olive green solid padded jacket,"Casual outings, Winter sports, Outdoor activities, Travel",2399,5999.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.4,27,olive
https://www.myntra.com/jackets/sztori/sztori-men-plus-size-black-hooded-tailored-jacket/14320432/buy,14320432,Sztori,Plus Size,jackets,Men,sztori men plus size black hooded tailored jacket,"Formal events, Business meetings, Evening parties, Casual outings.",2799,6999.0,60% OFF,"XXL, 3XL, 4XL, 5XL, 6XL",4.3,27,black
